county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_[per_1000_people],staffed_all_beds_[per_1000_adults_20+],staffed_all_beds_[per_1000_elderly_65+],staffed_icu_beds_[per_1000_people],staffed_icu_beds_[per_1000_adults_20+],staffed_icu_beds_[per_1000_elderly_65+],licensed_all_beds_per_1000_people,licensed_all_beds_[per_1000_adults_20+],licensed_all_beds_[per_1000_elderly_65+],state,cases,deaths
Athens,156.0,0.0,156.0,0.64,0.0,65818.0,49587.0,8671.0,2.37,3.1460000000000004,17.991,0.0,0.0,0.0,2.37,3.1460000000000004,17.991,Ohio,3.0,1.0
Atlantic,1361.0,102.0,1484.0,0.65,0.59,265429.0,202356.0,47611.0,5.127999999999999,6.726,28.586,0.384,0.504,2.142,5.591,7.334,31.169,New Jersey,505.0,24.0
Atoka,25.0,0.0,25.0,0.3,0.0,13838.0,10438.0,2746.0,1.807,2.395,9.104,0.0,0.0,0.0,1.807,2.395,9.104,Oklahoma,1.0,0.0
Attala,25.0,0.0,25.0,0.34,0.0,18365.0,13314.0,3521.0,1.361,1.8780000000000001,7.1,0.0,0.0,0.0,1.361,1.8780000000000001,7.1,Mississippi,51.0,0.0
Audrain,40.0,0.0,70.0,0.31,0.0,25473.0,19138.0,4552.0,1.57,2.09,8.787,0.0,0.0,0.0,2.748,3.658,15.378,Missouri,1.0,0.0
Audubon,25.0,0.0,25.0,0.07,0.0,5506.0,4277.0,1362.0,4.541,5.845,18.355,0.0,0.0,0.0,4.541,5.845,18.355,Iowa,1.0,0.0
Auglaize,36.0,6.0,131.0,0.43,0.29,45804.0,33746.0,8426.0,0.7859999999999999,1.067,4.272,0.131,0.17800000000000002,0.7120000000000001,2.86,3.8819999999999997,15.547,Ohio,28.0,3.0
Augusta,341.0,12.0,370.0,0.61,0.97,75457.0,59527.0,15877.0,4.519,5.728,21.478,0.159,0.20199999999999999,0.7559999999999999,4.9030000000000005,6.216,23.304000000000002,Virginia,28.0,0.0
Austin,32.0,0.0,32.0,0.07,0.0,29989.0,22126.0,5699.0,1.067,1.446,5.615,0.0,0.0,0.0,1.067,1.446,5.615,Texas,12.0,0.0
Autauga,55.0,6.0,85.0,0.62,0.53,55601.0,41177.0,8653.0,0.9890000000000001,1.3359999999999999,6.356,0.10800000000000001,0.146,0.693,1.5290000000000001,2.064,9.823,Alabama,32.0,2.0
Avery,21.0,0.0,50.0,0.2,0.0,17505.0,14384.0,3891.0,1.2,1.46,5.397,0.0,0.0,0.0,2.8560000000000003,3.4760000000000004,12.85,,,
Avoyelles,92.0,2.0,94.0,0.31,0.16,40462.0,29985.0,6850.0,2.274,3.068,13.431,0.049,0.067,0.292,2.323,3.135,13.722999999999999,Louisiana,71.0,7.0
Baca,15.0,0.0,23.0,0.32,0.0,3585.0,2719.0,886.0,4.184,5.517,16.93,0.0,0.0,0.0,6.416,8.459,25.959,Colorado,10.0,0.0
Bacon,25.0,4.0,25.0,0.55,0.4,11185.0,8092.0,1794.0,2.235,3.089,13.935,0.358,0.494,2.23,2.235,3.089,13.935,Georgia,20.0,1.0
Bailey,25.0,0.0,25.0,0.09,0.0,7027.0,4605.0,1025.0,3.5580000000000003,5.428999999999999,24.39,0.0,0.0,0.0,3.5580000000000003,5.428999999999999,24.39,,,
Baker,81.0,0.0,1163.0,0.76,0.0,28355.0,20970.0,4015.0,2.8569999999999998,3.863,20.174,0.0,0.0,0.0,41.016000000000005,55.46,289.664,Florida,17.0,3.0
Baker,21.0,2.0,36.0,0.31,0.28,16006.0,12606.0,4227.0,1.3119999999999998,1.666,4.968,0.125,0.159,0.473,2.249,2.8560000000000003,8.517000000000001,,,
Baldwin,362.0,51.0,386.0,0.64,0.65,218022.0,166352.0,44571.0,1.66,2.176,8.122,0.23399999999999999,0.307,1.1440000000000001,1.77,2.32,8.66,Alabama,132.0,3.0
Baldwin,98.0,12.0,340.0,0.3,0.71,44823.0,33596.0,7177.0,2.186,2.917,13.655,0.268,0.35700000000000004,1.672,7.585,10.12,47.373999999999995,Georgia,155.0,4.0
Baltimore,6398.0,606.0,6529.0,1.46,1.26,1430926.0,1089890.0,226697.0,9.705,12.681000000000001,66.079,0.959,1.251,6.6850000000000005,9.922,12.963000000000001,67.62599999999999,Maryland,2012.0,58.0
Bannock,137.0,20.0,219.0,0.61,0.56,87138.0,61523.0,12400.0,1.5719999999999998,2.227,11.048,0.23,0.325,1.6130000000000002,2.513,3.56,17.660999999999998,Idaho,5.0,0.0
Baraga,24.0,0.0,24.0,0.24,0.0,8320.0,6679.0,1840.0,2.885,3.593,13.043,0.0,0.0,0.0,2.885,3.593,13.043,Michigan,1.0,0.0
Barber,32.0,0.0,35.0,0.62,0.0,4472.0,3373.0,1027.0,7.156000000000001,9.487,31.159000000000002,0.0,0.0,0.0,7.8260000000000005,10.377,34.08,Kansas,1.0,0.0
Barbour,30.0,5.0,74.0,0.43,0.42,24881.0,19189.0,4832.0,1.206,1.5630000000000002,6.209,0.201,0.261,1.035,2.9739999999999998,3.8560000000000003,15.315,Alabama,29.0,0.0
Barbour,12.0,0.0,72.0,0.45,0.0,16535.0,12662.0,3333.0,0.726,0.948,3.6,0.0,0.0,0.0,4.354,5.686,21.601999999999997,West Virginia,4.0,0.0
Barnes,25.0,0.0,25.0,0.32,0.0,10542.0,8098.0,2401.0,2.371,3.0869999999999997,10.412,0.0,0.0,0.0,2.371,3.0869999999999997,10.412,North Dakota,3.0,0.0
Barnstable,410.0,34.0,430.0,0.74,0.78,213413.0,177234.0,65299.0,1.921,2.313,6.279,0.159,0.192,0.521,2.015,2.426,6.585,Massachusetts,678.0,27.0
